"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2017,1001,1,1,"Dilluns",33986
2017,1001,1,2,"Laborable",35184
2017,1001,1,3,"Divendres",38236
2017,1001,1,4,"Dissabte",26954
2017,1001,1,5,"Diumenge",20266
2017,1001,2,1,"Dilluns",35387
2017,1001,2,2,"Laborable",36291
2017,1001,2,3,"Divendres",39042
2017,1001,2,4,"Dissabte",26973
2017,1001,2,5,"Diumenge",22784
2017,1001,3,1,"Dilluns",35503
2017,1001,3,2,"Laborable",36250
2017,1001,3,3,"Divendres",38165
2017,1001,3,4,"Dissabte",27396
2017,1001,3,5,"Diumenge",23499
2017,1001,4,1,"Dilluns",36304
2017,1001,4,2,"Laborable",35894
2017,1001,4,3,"Divendres",39202
2017,1001,4,4,"Dissabte",25877
2017,1001,4,5,"Diumenge",21127
2017,1001,5,1,"Dilluns",36678
2017,1001,5,2,"Laborable",36869
2017,1001,5,3,"Divendres",39102
2017,1001,5,4,"Dissabte",28109
2017,1001,5,5,"Diumenge",23570
2017,1001,6,1,"Dilluns",37553
2017,1001,6,2,"Laborable",37784
2017,1001,6,3,"Divendres",38840
2017,1001,6,4,"Dissabte",26135
2017,1001,6,5,"Diumenge",21134
2017,1001,7,1,"Dilluns",36511
2017,1001,7,2,"Laborable",37119
2017,1001,7,3,"Divendres",36809
2017,1001,7,4,"Dissabte",23688
2017,1001,7,5,"Diumenge",22447
2017,1001,8,1,"Dilluns",26204
2017,1001,8,2,"Laborable",27661
2017,1001,8,3,"Divendres",24985
2017,1001,8,4,"Dissabte",18168
2017,1001,8,5,"Diumenge",17070
2017,1001,9,1,"Dilluns",36006
2017,1001,9,2,"Laborable",35252
2017,1001,9,3,"Divendres",35824
2017,1001,9,4,"Dissabte",24757
2017,1001,9,5,"Diumenge",22299
2017,1001,10,1,"Dilluns",34803
2017,1001,10,2,"Laborable",34194
2017,1001,10,3,"Divendres",35584
2017,1001,10,4,"Dissabte",27889
2017,1001,10,5,"Diumenge",22508
2017,1001,11,1,"Dilluns",34550
2017,1001,11,2,"Laborable",34310
2017,1001,11,3,"Divendres",37312
2017,1001,11,4,"Dissabte",27978
2017,1001,11,5,"Diumenge",22108
2017,1001,12,1,"Dilluns",34942
2017,1001,12,2,"Laborable",34807
2017,1001,12,3,"Divendres",37367
2017,1001,12,4,"Dissabte",26199
2017,1001,12,5,"Diumenge",21056
2017,1002,1,1,"Dilluns",18377
2017,1002,1,2,"Laborable",19322
2017,1002,1,3,"Divendres",21005
2017,1002,1,4,"Dissabte",15948
2017,1002,1,5,"Diumenge",11644
2017,1002,2,1,"Dilluns",19749
2017,1002,2,2,"Laborable",20198
2017,1002,2,3,"Divendres",21602
