"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2020,"10001",1,1,"dilluns", 8635
2020,"10001",1,2,"laborables", 8536
2020,"10001",1,3,"divendres", 9381
2020,"10001",1,4,"dissabte", 6228
2020,"10001",1,5,"diumenge", 5043
2020,"10001",2,1,"dilluns", 8210
2020,"10001",2,2,"laborables", 8685
2020,"10001",2,3,"divendres", 9541
2020,"10001",2,4,"dissabte", 6210
2020,"10001",2,5,"diumenge", 4415
2020,"10001",3,1,"dilluns", 5006
2020,"10001",3,2,"laborables", 5334
2020,"10001",3,3,"divendres", 5534
2020,"10001",3,4,"dissabte", 3009
2020,"10001",3,5,"diumenge", 2994
2020,"10001",4,1,"dilluns", 2609
2020,"10001",4,2,"laborables", 2563
2020,"10001",4,3,"divendres", 2665
2020,"10001",4,4,"dissabte", 1439
2020,"10001",4,5,"diumenge", 868
2020,"10001",5,1,"dilluns", 4399
2020,"10001",5,2,"laborables", 4515
2020,"10001",5,3,"divendres", 4804
2020,"10001",5,4,"dissabte", 2946
2020,"10001",5,5,"diumenge", 1919
2020,"10001",6,1,"dilluns", 7128
2020,"10001",6,2,"laborables", 6842
2020,"10001",6,3,"divendres", 7421
2020,"10001",6,4,"dissabte", 4611
2020,"10001",6,5,"diumenge", 3092
2020,"10001",7,1,"dilluns", 7186
2020,"10001",7,2,"laborables", 7758
2020,"10001",7,3,"divendres", 8461
2020,"10001",7,4,"dissabte", 4735
2020,"10001",7,5,"diumenge", 3394
2020,"10001",8,1,"dilluns", 5670
2020,"10001",8,2,"laborables", 5434
2020,"10001",8,3,"divendres", 5666
2020,"10001",8,4,"dissabte", 4092
2020,"10001",8,5,"diumenge", 3072
2020,"10001",9,1,"dilluns", 8093
2020,"10001",9,2,"laborables", 8303
2020,"10001",9,3,"divendres", 8640
2020,"10001",9,4,"dissabte", 5136
2020,"10001",9,5,"diumenge", 3889
2020,"10001",10,1,"dilluns", 7836
2020,"10001",10,2,"laborables", 8265
2020,"10001",10,3,"divendres", 8894
2020,"10001",10,4,"dissabte", 5076
2020,"10001",10,5,"diumenge", 3837
2020,"10001",11,1,"dilluns", 7858
2020,"10001",11,2,"laborables", 8104
2020,"10001",11,3,"divendres", 7647
2020,"10001",11,4,"dissabte", 4182
2020,"10001",11,5,"diumenge", 2731
2020,"10001",12,1,"dilluns", 7522
2020,"10001",12,2,"laborables", 7945
2020,"10001",12,3,"divendres", 8195
2020,"10001",12,4,"dissabte", 4747
2020,"10001",12,5,"diumenge", 3188
2020,"10002",1,1,"dilluns", 23866
2020,"10002",1,2,"laborables", 23406
2020,"10002",1,3,"divendres", 23408
2020,"10002",1,4,"dissabte", 22686
2020,"10002",1,5,"diumenge", 21676
2020,"10002",2,1,"dilluns", 15049
2020,"10002",2,2,"laborables", 17051
2020,"10002",2,3,"divendres", 18422
2020,"10002",2,4,"dissabte", 15222
2020,"10002",2,5,"diumenge", 13911
2020,"10002",3,1,"dilluns", 9393
2020,"10002",3,2,"laborables", 10267
2020,"10002",3,3,"divendres", 10390
2020,"10002",3,4,"dissabte", 6127
2020,"10002",3,5,"diumenge", 6288
2020,"10002",4,1,"dilluns", 5199
2020,"10002",4,2,"laborables", 5251
2020,"10002",4,3,"divendres", 5491
2020,"10002",4,4,"dissabte", 2619
2020,"10002",4,5,"diumenge", 1550
2020,"10002",5,1,"dilluns", 8487
2020,"10002",5,2,"laborables", 8770
2020,"10002",5,3,"divendres", 9157
2020,"10002",5,4,"dissabte", 4455
2020,"10002",5,5,"diumenge", 2657
2020,"10002",6,1,"dilluns", 13686
2020,"10002",6,2,"laborables", 12265
2020,"10002",6,3,"divendres", 14137
2020,"10002",6,4,"dissabte", 9931
2020,"10002",6,5,"diumenge", 7624
2020,"10002",7,1,"dilluns", 14208
2020,"10002",7,2,"laborables", 14694
2020,"10002",7,3,"divendres", 14997
2020,"10002",7,4,"dissabte", 11424
2020,"10002",7,5,"diumenge", 10367
2020,"10002",8,1,"dilluns", 12105
2020,"10002",8,2,"laborables", 11858
2020,"10002",8,3,"divendres", 12237
2020,"10002",8,4,"dissabte", 9495
2020,"10002",8,5,"diumenge", 8745
2020,"10002",9,1,"dilluns", 13038
2020,"10002",9,2,"laborables", 13430
2020,"10002",9,3,"divendres", 12605
2020,"10002",9,4,"dissabte", 9873
2020,"10002",9,5,"diumenge", 8376
2020,"10002",10,1,"dilluns", 13969
2020,"10002",10,2,"laborables", 14274
2020,"10002",10,3,"divendres", 14493
2020,"10002",10,4,"dissabte", 10247
2020,"10002",10,5,"diumenge", 9604
2020,"10002",11,1,"dilluns", 13771
2020,"10002",11,2,"laborables", 13546
2020,"10002",11,3,"divendres", 13018
2020,"10002",11,4,"dissabte", 7765
2020,"10002",11,5,"diumenge", 7329
2020,"10002",12,1,"dilluns", 13418
2020,"10002",12,2,"laborables", 13771
2020,"10002",12,3,"divendres", 14383
2020,"10002",12,4,"dissabte", 9488
2020,"10002",12,5,"diumenge", 7467
2020,"10005",1,1,"dilluns", 14486
2020,"10005",1,2,"laborables", 14819
2020,"10005",1,3,"divendres", 15778
2020,"10005",1,4,"dissabte", 12406
2020,"10005",1,5,"diumenge", 9649
2020,"10005",2,1,"dilluns", 15010
2020,"10005",2,2,"laborables", 15678
2020,"10005",2,3,"divendres", 16756
2020,"10005",2,4,"dissabte", 12761
2020,"10005",2,5,"diumenge", 9701
2020,"10005",3,1,"dilluns", 9323
2020,"10005",3,2,"laborables", 9593
2020,"10005",3,3,"divendres", 9836
2020,"10005",3,4,"dissabte", 5636
2020,"10005",3,5,"diumenge", 5696
2020,"10005",4,1,"dilluns", 4165
2020,"10005",4,2,"laborables", 4136
2020,"10005",4,3,"divendres", 4200
2020,"10005",4,4,"dissabte", 2225
2020,"10005",4,5,"diumenge", 1521
2020,"10005",5,1,"dilluns", 7455
2020,"10005",5,2,"laborables", 7687
2020,"10005",5,3,"divendres", 8115
2020,"10005",5,4,"dissabte", 4364
2020,"10005",5,5,"diumenge", 2839
2020,"10005",6,1,"dilluns", 11625
2020,"10005",6,2,"laborables", 11443
2020,"10005",6,3,"divendres", 11973
2020,"10005",6,4,"dissabte", 8628
2020,"10005",6,5,"diumenge", 6404
2020,"10005",7,1,"dilluns", 12496
2020,"10005",7,2,"laborables", 12768
2020,"10005",7,3,"divendres", 12936
2020,"10005",7,4,"dissabte", 8631
2020,"10005",7,5,"diumenge", 6992
2020,"10005",8,1,"dilluns", 10522
2020,"10005",8,2,"laborables", 10169
2020,"10005",8,3,"divendres", 10653
2020,"10005",8,4,"dissabte", 8170
2020,"10005",8,5,"diumenge", 6612
2020,"10005",9,1,"dilluns", 13159
2020,"10005",9,2,"laborables", 13295
2020,"10005",9,3,"divendres", 13358
2020,"10005",9,4,"dissabte", 9751
2020,"10005",9,5,"diumenge", 7913
2020,"10005",10,1,"dilluns", 12080
2020,"10005",10,2,"laborables", 13150
2020,"10005",10,3,"divendres", 13060
2020,"10005",10,4,"dissabte", 9614
2020,"10005",10,5,"diumenge", 7862
2020,"10005",11,1,"dilluns", 11682
2020,"10005",11,2,"laborables", 12162
2020,"10005",11,3,"divendres", 12142
2020,"10005",11,4,"dissabte", 7904
2020,"10005",11,5,"diumenge", 5622
2020,"10005",12,1,"dilluns", 11559
2020,"10005",12,2,"laborables", 11946
2020,"10005",12,3,"divendres", 12484
2020,"10005",12,4,"dissabte", 8958
2020,"10005",12,5,"diumenge", 6753
2020,"10008",1,1,"dilluns", 4120
2020,"10008",1,2,"laborables", 4268
2020,"10008",1,3,"divendres", 4564
2020,"10008",1,4,"dissabte", 3333
2020,"10008",1,5,"diumenge", 2606
