"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2019,"10005",3,3,"Divendres","Mesura no disponible"
2019,"10005",3,4,"Dissabte","Mesura no disponible"
2019,"10005",3,5,"Diumenge","Mesura no disponible"
2019,"10005",4,1,"Dilluns",14363
2019,"10005",4,2,"Laborable",15293
2019,"10005",4,3,"Divendres",17694
2019,"10005",4,4,"Dissabte",11178
2019,"10005",4,5,"Diumenge",8939
2019,"10005",5,1,"Dilluns",16687
2019,"10005",5,2,"Laborable",16999
2019,"10005",5,3,"Divendres",18049
2019,"10005",5,4,"Dissabte",13571
2019,"10005",5,5,"Diumenge",10803
2019,"10005",6,1,"Dilluns",16872
2019,"10005",6,2,"Laborable",17228
2019,"10005",6,3,"Divendres",17906
2019,"10005",6,4,"Dissabte",13109
2019,"10005",6,5,"Diumenge",9954
2019,"10005",7,1,"Dilluns",16680
2019,"10005",7,2,"Laborable",17066
2019,"10005",7,3,"Divendres",17261
2019,"10005",7,4,"Dissabte",12479
2019,"10005",7,5,"Diumenge",10199
2019,"10005",8,1,"Dilluns",12972
2019,"10005",8,2,"Laborable",13597
2019,"10005",8,3,"Divendres",14051
2019,"10005",8,4,"Dissabte",10650
2019,"10005",8,5,"Diumenge",8858
2019,"10005",9,1,"Dilluns",16764
2019,"10005",9,2,"Laborable",17228
2019,"10005",9,3,"Divendres",17695
2019,"10005",9,4,"Dissabte",12836
2019,"10005",9,5,"Diumenge",10352
2019,"10005",10,1,"Dilluns",15611
2019,"10005",10,2,"Laborable",16530
2019,"10005",10,3,"Divendres",15465
2019,"10005",10,4,"Dissabte",13057
2019,"10005",10,5,"Diumenge",10745
2019,"10005",11,1,"Dilluns",15596
2019,"10005",11,2,"Laborable",16127
2019,"10005",11,3,"Divendres",17312
2019,"10005",11,4,"Dissabte",13383
2019,"10005",11,5,"Diumenge",10031
2019,"10005",12,1,"Dilluns",15691
2019,"10005",12,2,"Laborable",15777
2019,"10005",12,3,"Divendres",16096
2019,"10005",12,4,"Dissabte",13049
2019,"10005",12,5,"Diumenge",10594
2019,"10008",1,1,"Dilluns","Mesura no disponible"
2019,"10008",1,2,"Laborable","Mesura no disponible"
2019,"10008",1,3,"Divendres","Mesura no disponible"
2019,"10008",1,4,"Dissabte","Mesura no disponible"
2019,"10008",1,5,"Diumenge","Mesura no disponible"
2019,"10008",2,1,"Dilluns","Mesura no disponible"
2019,"10008",2,2,"Laborable","Mesura no disponible"
2019,"10008",2,3,"Divendres","Mesura no disponible"
2019,"10008",2,4,"Dissabte","Mesura no disponible"
2019,"10008",2,5,"Diumenge","Mesura no disponible"
2019,"10008",3,1,"Dilluns","Mesura no disponible"
2019,"10008",3,2,"Laborable","Mesura no disponible"
2019,"10008",3,3,"Divendres","Mesura no disponible"
2019,"10008",3,4,"Dissabte","Mesura no disponible"
2019,"10008",3,5,"Diumenge","Mesura no disponible"
2019,"10008",4,1,"Dilluns",3504
2019,"10008",4,2,"Laborable",3706
2019,"10008",4,3,"Divendres",4179
2019,"10008",4,4,"Dissabte",2840
2019,"10008",4,5,"Diumenge",2140
2019,"10008",5,1,"Dilluns","Mesura no disponible"
2019,"10008",5,2,"Laborable","Mesura no disponible"
2019,"10008",5,3,"Divendres","Mesura no disponible"
2019,"10008",5,4,"Dissabte","Mesura no disponible"
2019,"10008",5,5,"Diumenge","Mesura no disponible"
2019,"10008",6,1,"Dilluns",3016
2019,"10008",6,2,"Laborable",4001
2019,"10008",6,3,"Divendres",4222
2019,"10008",6,4,"Dissabte",3042
2019,"10008",6,5,"Diumenge",2393
2019,"10008",7,1,"Dilluns",4351
2019,"10008",7,2,"Laborable",4475
2019,"10008",7,3,"Divendres",4673
2019,"10008",7,4,"Dissabte",3341
2019,"10008",7,5,"Diumenge",2849
2019,"10008",8,1,"Dilluns",3331
2019,"10008",8,2,"Laborable",3447
2019,"10008",8,3,"Divendres",3481
2019,"10008",8,4,"Dissabte",2713
2019,"10008",8,5,"Diumenge",2306
2019,"10008",9,1,"Dilluns",4436
2019,"10008",9,2,"Laborable",4528
2019,"10008",9,3,"Divendres",4654
2019,"10008",9,4,"Dissabte",3349
2019,"10008",9,5,"Diumenge",2710
2019,"10008",10,1,"Dilluns",4563
2019,"10008",10,2,"Laborable",4674
2019,"10008",10,3,"Divendres",4449
2019,"10008",10,4,"Dissabte",3450
2019,"10008",10,5,"Diumenge",2760
2019,"10008",11,1,"Dilluns",4523
2019,"10008",11,2,"Laborable",4639
2019,"10008",11,3,"Divendres",5115
2019,"10008",11,4,"Dissabte",3668
