"Id_aforament","Desc_aforament","Codi_tipus_aforament","Desc_tipus_aforament","Num_carrils","Codi_districte","Codi_barri","Codi_tipus_equip_mesura","Desc_tipus_equip_mesura","Longitud","Latitud","X_ETRS89","Y_ETRS89"
"20069","JOSEP TARRADELLES - AV. SARRIÀ (carril BICI sentit mar)",2,"Bicis",1,4,19,1,"Espira",2.14347280719532,41.3903374201875,428391.058,4582443.586
"20070","VIA JÚLIA - CARRER DEL TURÓ BLAU (carril BICI sentit muntanya)",2,"Bicis",1,8,52,1,"Espira",2.17616263755278,41.4400899080573,431176.621999998,4587940.558
"20071","VIA JÚLIA - FONT D'EN CANYELLES (carril BICI sentit mar)",2,"Bicis",1,8,52,1,"Espira",2.17600978341832,41.4400232392054,431163.784999998,4587933.28
"20072","PG. VALLDAURA - CARRER DEL MARNE (carril BICI sentit Llobregat)",2,"Bicis",1,8,48,1,"Espira",2.1711057404527,41.438657160364,430752.641999999,4587785.52599999
"20073","PG. VLLDAURA - ALSÀCIA (carril BICI sentit Besòs)",2,"Bicis",1,8,48,1,"Espira",2.17109773034766,41.4386752075862,430751.994,4587787.536
"20074","Bac de Roda - Llull (carril BICI sentit muntanya)",2,"Bicis",1,10,68,1,"Espira",2.20834786197583,41.4041601924209,433828.934,4583926.591
"20075","Bac de Roda -Ramon Turró (carril BICI sentit mar)",2,"Bicis",1,10,68,1,"Espira",2.20832588964335,41.4041469803687,433827.077999998,4583925.13999999
"20076","Ramon Turró - Bac de Roda (carril BICI sentit Llobregat)",2,"Bicis",1,10,68,1,"Espira",2.20819784306499,41.4038444382139,433816.074,4583891.65199999
"20077","Ramon Turró - Espronceda (carril BICI sentit Besòs)",2,"Bicis",1,10,68,1,"Espira",2.20819124964829,41.4038258373973,433815.5,4583889.59399999
"20078","Ramon Turró - Selva de Mar (sentit BICI - sentit Llobregat)",2,"Bicis",1,10,69,1,"Espira",2.21169298313735,41.4064786299593,434110.881999998,4584181.42599998
"20079","Ramon Turró - Provençals (carril BICI - sentit Besòs)",2,"Bicis",1,10,69,1,"Espira",2.21168795890501,41.4064587790513,434110.443,4584179.233
"20080","Ramon Turró - Piquer (carril BICI sentit Llobregat)",2,"Bicis",1,10,68,1,"Espira",2.20660288255978,41.4026329317766,433681.517999998,4583758.366
"20081","Ramon Turró - Lope de Vega (carril BICI sentit Besòs)",2,"Bicis",1,10,68,1,"Espira",2.20660068072211,41.4026172435481,433681.318,4583756.62999998
"20082","CIUTAT D'ASUNCIÓN - SAO PAOLO (carril BICI - sentit mar)",2,"Bicis",1,9,59,1,"Espira",2.20060482190494,41.4379954495387,433216.386999999,4587688.888
"20083","CIUTAT D'ASUNCIÓN - COSTA DAURADA (carril BICI - sentit muntanya)",2,"Bicis",1,9,59,1,"Espira",2.20062631271734,41.437999922445,433218.186999998,4587689.36799998
"20084","Sant Adrià - Ciutat D'Asunción (carril BICI sentit Llobregat)",2,"Bicis",1,9,59,1,"Espira",2.20059626601669,41.435629765338,433213.250999999,4587426.262
"20085","Sant Adrià - Fra Juniper Serra (carril BICI sentit Besòs)",2,"Bicis",1,9,59,1,"Espira",2.20060913926348,41.4356146322099,433214.314,4587424.56599999
"20088","CARTAGENA - CORSEGA (carril bici sentit muntanya)",2,"Bicis",1,2,6,1,"Espira",2.17569032211497,41.4101120596852,431105.481,4584612.81799998
"20089","CARTAGENA - INDUSTRIA  (carril bici sentit mar)",2,"Bicis",1,2,6,1,"Espira",2.17568453727664,41.4100964353036,431104.978999999,4584611.092
"20090","CARTAGENA - PROVENÇA (carril BICI sentit muntanya)",2,"Bicis",1,2,6,1,"Espira",2.179411111,41.4072749999999,431413.477,4584294.914
"20091","CARTAGENA - ROSSELLO (carril BICI sentit mar)",2,"Bicis",1,2,6,1,"Espira",2.178327778,41.40810278,431323.801,4584387.672
"20092","CARTAGENA - ARAGO (carril BICI sentit muntanya)",2,"Bicis",1,2,6,1,"Espira",2.182883333,41.4046583299999,431700.955,4584001.671
"20093","CARTAGENA - VALENCIA (carril BICI sentit mar)",2,"Bicis",1,2,6,1,"Espira",2.182888333,41.40465832999,432143.211,4582603.26699999
"20094","TRAV. DE GRACIA - LEPANT (carril BICI sentit Besòs)",2,"Bicis",1,7,33,1,"Espira",2.17127921792288,41.4098357282387,430736.512999998,4584585.65799998
"20095","TRAV. DE GRACIA - PADILLA (carril BICI sentit Llobregat)",2,"Bicis",1,7,33,1,"Espira",2.17125546598232,41.409840601339,430734.526,4584586.217
"20096","TRAV. DE GRACIA - SARDENYA (carril BICI sentit Besòs)",2,"Bicis",1,7,33,1,"Espira",2.16808935091745,41.4077983655298,430468.436999998,4584364.01699998
"20097","TRAV. DE GRACIA - MARINA (carril bici sentit Llobregat)",2,"Bicis",1,7,33,1,"Espira",2.16806605619001,41.4078049527011,430466.636999999,4584364.78799999
"20098","TRAV. DE GRACIA - HIPOLIT LAZARO (carril BICI)",2,"Bicis",1,6,32,1,"Espira",2.16498403006649,41.4058823180195,430208.173999999,4584153.44199998
"20099","TRAV. DE GRACIA - EN GRASSOT (sentit Besòs)",2,"Bicis",1,6,32,1,"Espira",2.16500348131498,41.4058768745482,430210.000999999,4584152.88399999
"20100","TRAV. DE GRACIA - BAILEN (carril BICI sentit Besòs)",2,"Bicis",1,6,31,1,"Espira",2.16178971075418,41.4038678969883,429946.489999999,4583939.97099998
"20101","TRAV. DE GRACIA - TORRENT DE LES FLORS (carril BICI sentit Llobregat)",2,"Bicis",1,6,31,1,"Espira",2.161789688408,41.4038882537362,429944.808,4583940.77199998
"20102","MARINA - INDUSTRIA (carril BICI)",2,"Bicis",1,2,6,1,"Espira",2.17079562188749,41.4072281819958,430693.325,4584296.55599998
"20104","Av. Rio De Janeiro - Argullòs (carril BICI sentit Llobregat)",2,"Bicis",1,8,52,1,"Espira",2.18271150857079,41.4401591394034,431723.793,4587943.057
"20105","Av. Rio De Janeiro - Baltasar Gracián (carril BICI sentit Besòs) ",2,"Bicis",1,8,52,1,"Espira",2.18273869098689,41.4401583416996,431726.058,4587942.94799998
"20106","Selva De Mar - Gran Via (carril BICI sentit mar) ",2,"Bicis",1,10,71,1,"Espira",2.20204844067596,41.4141608340585,433312.610999998,4585041.683
"20107","Selva De Mar - Perú (carril BICI sentit muntanya)",2,"Bicis",1,10,71,1,"Espira",2.2020571279151,41.4141744956016,433313.344999998,4585043.18599999
"20108","Selva De Mar - Concilio de trento (carril BICI sentit montanya)",2,"Bicis",1,10,72,1,"Espira",2.20020337834627,41.4155352641327,433159.822999998,4585195.69099999
"20109","Selva De Mar - Andrade (carril BICI sentit muntanya)",2,"Bicis",1,10,72,1,"Espira",2.20022583692175,41.4155480307212,433161.706,4585197.087
"20110","Av. Pau Casals - Mestre Nicolau (carril BICI sentit muntanya)",2,"Bicis",1,5,26,1,"Espira",2.14262529631989,41.3938291688663,428324.037,4582831.94
"20111","Av. Pau Casals - Fontest (carril BICI sentit mar)",2,"Bicis",1,5,26,1,"Espira",2.14249131845053,41.3936476603007,428312.64,4582811.90099999
"20112","Pg. Pujajdes - Lluis Companys (carril BICI sentit Llobregat) ",2,"Bicis",1,1,4,1,"Espira",2.18291085144431,41.3885700761585,431686.409999998,4582215.53699999
"20113","Pg. Pujades - Picasso (carril BICI sentit Besòs)",2,"Bicis",1,1,4,1,"Espira",2.18291285064395,41.3885536966828,431686.554999999,4582213.722
"20114","Pg. Pujades - Lluis Companys (carril BICI sentit Besòs) ",2,"Bicis",1,1,4,1,"Espira",2.1839832780429,41.3893236888011,431776.857,4582298.36199999
"20115","Pg. Pujades - Roger De Flor (carril BICI sentit Llobregat)",2,"Bicis",1,1,4,1,"Espira",2.18398045090673,41.3893393418212,431776.639,4582300.104
"20116","LONDRES - CALABRIA (carril BICI)",2,"Bicis",1,2,9,1,"Espira",2.14368397732475,41.388090810084,428406.244999999,4582193.997
