"Id_aforament","Desc_aforament","Codi_tipus_aforament","Desc_tipus_aforament","Num_carrils","Codi_districte","Codi_barri","Codi_tipus_equip_mesura","Desc_tipus_equip_mesura","Longitud","Latitud","X_ETRS89","Y_ETRS89"
"51-SMD-2","RONDA LITORAL - JOSEP PLA (Llobregat)",3,"Rondes",2,0,0,1,"Espira",2.218983645,41.406664463,434720.44,4584196.55
"58-SMD-1","RONDA LITORAL - SANTANDER (Trinitat)",3,"Rondes",3,0,0,1,"Espira",2.209349326,41.436278311,433945.19,4587491.55
"58-SMD-2","RONDA LITORAL - SANTANDER (Llobregat)",3,"Rondes",3,0,0,1,"Espira",2.209641569,41.434834621,433968.14,4587331.05
"5-SMD-1","RONDA DE DALT - ROQUETES (Llobregat)",3,"Rondes",3,0,0,1,"Espira",2.170348703,41.442985056,430694.00,4588266.63
"5-SMD-2","RONDA DE DALT - ROQUETES (Trinitat)",3,"Rondes",3,0,0,1,"Espira",2.170348703,41.442985056,430694.00,4588266.63
"6001","MALLORCA - XIFRÉ (sentit Llobregat)",1,"Trànsit",3,10,64,1,"Espira",2.183407444,41.409444124,431749.77,4584532.57
"6002","PADILLA - PROVENÇA (sentit muntanya)",1,"Trànsit",2,2,6,1,"Espira",2.176217811,41.406438095,431145.68,4584204.53
"6003","LEPANT - PROVENÇA (sentit mar)",1,"Trànsit",2,2,6,1,"Espira",2.176014712,41.404950423,431127.14,4584039.53
"6004","ROSSELLÓ - NÀPOLS  (sentit Besòs)",1,"Trànsit",3,6,32,1,"Espira",2.170197327,41.402942443,430638.75,4583821.25
"6005","CÒRSEGA - NÀPOLS (sentit Llobregat)",1,"Trànsit",2,6,32,1,"Espira",2.16818331,41.403177214,430470.65,4583848.93
"6006","SANT ANTONI MARIA CLARET - INDEPENDÈNCIA (sentit Llobregat)",1,"Trànsit",2,10,64,1,"Espira",2.176273701,41.41263331,431156.90,4584892.27
"6007","INDÚSTRIA - NÀPOLS (sentit Besòs)",1,"Trànsit",2,6,32,1,"Espira",2.167885719,41.404637038,430447.33,4584011.24
"6008","SANT ANTONI MARIA CLARET - SICÍLIA (sentit Llobregat)",1,"Trànsit",2,6,32,1,"Espira",2.167187337,41.405821353,430390.22,4584143.28
"6009","TÚNEL DE LA ROVIRA - BOCA SUD (Sentit Horta)",1,"Trànsit",2,7,34,1,"Espira",2.167031709,41.413365984,430385.27,4584981.00
"6010","TÚNEL DE LA ROVIRA - BOCA SUD (Sentit Guinardó)",1,"Trànsit",2,7,34,1,"Espira",2.16673198,41.413320004,430360.17,4584976.14
"6011","LEPANT - LLORENS I BARBA (sentit mar)",1,"Trànsit",3,7,33,1,"Espira",2.168790347,41.41046417,430529.16,4584657.43
"6012","PADILLA - ROSALIA DE CASTRO (sentit muntanya)",1,"Trànsit",2,7,33,1,"Espira",2.170566177,41.410725022,430677.86,4584684.97
"6013","SARDENYA - PARE LAÍNEZ (sentit mar)",1,"Trànsit",2,7,33,1,"Espira",2.167328034,41.407913403,430404.22,4584375.42
"6014","RONDA GUINARDÓ - CARTAGENA (Besòs)",1,"Trànsit",2,7,33,1,"Espira",2.172432279,41.414869692,430838.22,4585143.61
"6015","RONDA GUINARDÓ - SANT QUINTÍ (Llobregat)",1,"Trànsit",2,7,35,1,"Espira",2.172657576,41.415369266,430857.58,4585198.90
"6016","RONDA DEL MIG - SARDENYA (Besòs)",1,"Trànsit",3,7,33,1,"Espira",2.163477565,41.411988115,430086.76,4584830.89
"6017","RONDA DEL MIG - PL. ALFONS X EL SAVI (Llobregat)",1,"Trànsit",2,7,33,1,"Espira",2.163535125,41.412093185,430091.68,4584842.51
"6018","PG. MARAGALL - ESCORNALBOU (Sentit Eixample)",1,"Trànsit",2,9,63,2,"Infraroig",2.18033775,41.417075729,431501.22,4585382.24
"6019","PG. MARAGALL - ESCORNALBOU (Sentit Horta)",1,"Trànsit",2,9,63,2,"Infraroig",2.180434575,41.417024193,431509.26,4585376.44
"6020","TRAVESSERA DE GRÀCIA - BAILÉN (sentit Besòs)",1,"Trànsit",2,6,31,2,"Infraroig",2.161334549,41.403533983,429898.56,4583894.06
"6021","MALLORCA - SARDENYA (sentit Llobregat)",1,"Trànsit",3,2,6,1,"Espira",2.173911221,41.402333197,430948.54,4583750.65
"6022","CÒRSEGA - CARTAGENA (sentit Llobregat)",1,"Trànsit",2,2,6,1,"Espira",2.176005062,41.409022608,431130.63,4584491.63
"6023","ROSSELLÓ - CASTILLEJOS  (sentit Besòs)",1,"Trànsit",3,2,6,1,"Espira",2.178129489,41.408900849,431308.06,4584476.43
"6024","CAMÈLIES - CA L'ALEGRE DE DALT (sentit Besòs)",1,"Trànsit",2,6,30,1,"Espira",2.159517059,41.411280558,429754.99,4584755.55
"6025","SARDENYA - ROSSELLÓ (sentit mar)",1,"Trànsit",2,2,6,1,"Espira",2.172426858,41.404046649,430826.29,4583942.06
"6026","PG. SANT JOAN - INDÚSTRIA (Baixada)",1,"Trànsit",2,6,32,1,"Espira",2.165495617,41.402253957,430245.01,4583748.59
"6027","PI I MARGALL - SECRETARI COLOMA (Pujada)",1,"Trànsit",2,6,32,1,"Espira",2.163726748,41.407948309,430103.25,4584382.20
"6028","PI I MARGALL - SECRETARI COLOMA (Baixada)",1,"Trànsit",2,6,32,1,"Espira",2.163562383,41.407951744,430089.52,4584382.71
"6029","CAMÈLIES - ABD EL-KADER (sentit Besòs)",1,"Trànsit",2,7,33,1,"Espira",2.164295478,41.413908343,430157.17,4585043.41
"6030","SARDENYA - PL. SANLLEHY (sentit mar)",1,"Trànsit",2,6,30,1,"Espira",2.161560784,41.413243396,429927.91,4584971.80
"6031","AV. MARE DE DÉU DE MONTSERRAT - FRANÇA (sentit Llobregat)",1,"Trànsit",3,7,34,1,"Espira",2.163819388,41.414544542,430118.06,4585114.43
"60-SMD-1","RONDA LITORAL - TUCUMÁN (Trinitat)",3,"Rondes",3,0,0,1,"Espira",2.202856642,41.447307313,433414.03,4588720.96
"60-SMD-2","RONDA LITORAL - TUCUMÁN (Llobregat)",3,"Rondes",3,0,0,1,"Espira",2.202856642,41.447307313,433414.03,4588720.96
"62-SMD-1","ACCÉS RONDA DE DALT (Llobregat) ",3,"Rondes",2,0,0,1,"Espira",2.194888129,41.451559719,432752.80,4589199.22
